Date,Temp
2022-08-09,18.9
2022-08-10,19
2022-08-11,18.8
2022-08-12,18.8
2022-08-13,18.6
2022-08-14,18.4
2022-08-15,18.3
2022-08-16,18.4
2022-08-17,18.3
2022-08-18,18.4
2022-08-19,18.4
2022-08-20,18.4
2022-08-21,18.3
2022-08-22,18.5
2022-08-23,18.5
2022-08-24,18.7
2022-08-25,18.7
2022-08-26,18.6
2022-08-27,18.8
2022-08-28,18.7
2022-08-29,18.8
2022-08-30,18.8
2022-08-31,19.1
2022-09-01,19
2022-09-02,18.7
2022-09-03,19
2022-09-04,19.4
2022-09-05,19.3
2022-09-06,19.3
2022-09-07,19.1
2022-09-08,19.3
2022-09-09,19.2
2022-09-10,19
2022-09-11,19
2022-09-12,19.2
2022-09-13,19.2
2022-09-14,19.1
2022-09-15,18.9
2022-09-16,18.8
2022-09-17,19
2022-09-18,19
2022-09-19,19.2
2022-09-20,19.3
2022-09-21,19.1
2022-09-22,19.1
2022-09-23,19.2
2022-09-24,18.6
2022-09-25,18.4
2022-09-26,18.3
2022-09-27,17.9
2022-09-28,18
2022-09-29,17.9
2022-09-30,17.6
2022-10-01,17.6
2022-10-02,17.5
2022-10-03,16.9
2022-10-04,16.6
2022-10-05,16.3
2022-10-06,15.7
2022-10-07,15.4
2022-10-08,15.2
2022-10-09,14.8
2022-10-10,14.8
2022-10-11,14.7
2022-10-12,14.8
2022-10-13,14.8
2022-10-14,14.8
2022-10-15,14.3
2022-10-16,14.1
2022-10-17,14.2
2022-10-18,13.9
2022-10-19,13.5
2022-10-20,13.2
2022-10-21,13.2
2022-10-22,12.8
2022-10-23,12.9
2022-10-24,13.1
2022-10-25,13.1
2022-10-26,12.9
2022-10-27,13
2022-10-28,12.7
2022-10-29,12.4
2022-10-30,12.3
2022-10-31,12.3
2022-11-01,12.5
2022-11-02,12.4
2022-11-03,12.2
2022-11-04,12.1
2022-11-05,12.3
2022-11-06,12.3
2022-11-07,12.6
2022-11-08,12.6
2022-11-09,12.1
2022-11-10,12
2022-11-11,12.1
2022-11-12,12.2
2022-11-13,12
2022-11-14,11.6
2022-11-15,11.3
2022-11-16,11.1
2022-11-17,10.5
2022-11-18,10.1
2022-11-19,9.5
2022-11-20,9
2022-11-21,8.7
2022-11-22,8.5
2022-11-23,8.3
2022-11-24,8.1
2022-11-25,8
2022-11-26,7.9
2022-11-27,7.7
2022-11-28,7.7
2022-11-29,7.4
2022-11-30,7.2
2022-12-01,6.9
2022-12-02,6.7
2022-12-03,6.6
2022-12-04,6.3
2022-12-05,6.2
2022-12-06,6.2
2022-12-07,6.4
2022-12-08,6.4
2022-12-09,6.2
2022-12-10,5.9
2022-12-11,5.7
2022-12-12,5.6
2022-12-13,5.3
2022-12-14,5.1
2022-12-15,4.9
2022-12-16,4.9
2022-12-17,4.8
2022-12-18,4.7
2022-12-19,4.6
2022-12-20,4.4
2022-12-21,4.4
2022-12-22,4.3
2022-12-23,4
2022-12-24,3.8
2022-12-25,3.6
2022-12-26,2.8
2022-12-27,2.5
2022-12-28,2.6
2022-12-29,2.6
2022-12-30,2.7
2022-12-31,2.7
2023-01-01,2.7
2023-01-02,2.7
2023-01-03,2.8
2023-01-04,2.8
2023-01-05,2.9
2023-01-06,2.9
2023-01-07,2.9
2023-01-08,2.6
2023-01-09,2.7
2023-01-10,2.6
2023-01-11,2.7
2023-01-12,2.9
2023-01-13,2.9
2023-01-14,2.6
2023-01-15,2.4
2023-01-16,2.3
2023-01-17,2.3
2023-01-18,2.3
2023-01-19,2.4
2023-01-20,2.5
2023-01-21,2.4
2023-01-22,2.4
2023-01-23,2.3
2023-01-24,2.3
2023-01-25,2.3
2023-01-26,2.4
2023-01-27,2.3
2023-01-28,2.3
2023-01-29,2.3
2023-01-30,2.4
2023-01-31,2.4
2023-02-01,2.5
2023-02-02,2.5
2023-02-03,2.5
2023-02-04,2.5
2023-02-05,2.3
2023-02-06,2.3
2023-02-07,2.4
2023-02-08,2.5
2023-02-09,2.5
2023-02-10,2.6
2023-02-11,2.6
2023-02-12,2.6
2023-02-13,2.7
2023-02-14,2.8
2023-02-15,2.9
2023-02-16,3
2023-02-17,2.9
2023-02-18,2.9
2023-02-19,3
2023-02-20,3
2023-02-21,3
2023-02-22,3
2023-02-23,3
2023-02-24,3
2023-02-25,3
2023-02-26,2.9
2023-02-27,3
2023-02-28,2.9
2023-03-01,3.1
2023-03-02,3.2
2023-03-03,3.1
2023-03-04,3
2023-03-05,2.9
2023-03-06,3.1
2023-03-07,3.2
2023-03-08,3.1
2023-03-09,3.1
2023-03-10,3.1
2023-03-11,3.1
2023-03-12,3
2023-03-13,3.1
2023-03-14,3.1
2023-03-15,3
2023-03-16,3
2023-03-17,3.2
2023-03-18,3.3
2023-03-19,3.1
2023-03-20,3.3
2023-03-21,3.5
2023-03-22,3.4
2023-03-23,3.6
2023-03-24,4
2023-03-25,4
2023-03-26,4.3
2023-03-27,4.3
2023-03-28,4.8
2023-03-29,4.7
2023-03-30,4.7
2023-03-31,4.8
2023-04-01,4.9
2023-04-02,5.2
2023-04-03,5.3
2023-04-04,5.5
2023-04-05,5.7
2023-04-06,6.2
2023-04-07,7.6
2023-04-08,7.7
2023-04-09,7.7
2023-04-10,7.5
2023-04-11,7.6
2023-04-12,8.2
2023-04-13,8.5
2023-04-14,7.8
2023-04-15,7.8
2023-04-16,8
2023-04-17,8
2023-04-18,7.9
2023-04-19,8.4
2023-04-20,8.1
2023-04-21,7.9
2023-04-22,8.2
2023-04-23,9
2023-04-24,8.6
2023-04-25,8.2
2023-04-26,8.3
2023-04-27,8.6
2023-04-28,8.5
2023-04-29,8.9
2023-04-30,8.9
2023-05-01,9.4
2023-05-02,9.7
2023-05-03,9.8
2023-05-04,9.9
2023-05-05,10
2023-05-06,9.9
2023-05-07,9.6
2023-05-08,10.3
2023-05-09,9.7
2023-05-10,9.7
2023-05-11,10.3
2023-05-12,11.8
2023-05-13,12.6
2023-05-14,11
2023-05-15,10.5
2023-05-16,11.1
2023-05-17,12.6
2023-05-18,11.3
2023-05-19,11.4
2023-05-20,12
2023-05-21,12.9
2023-05-22,12.1
2023-05-23,12.4
2023-05-24,13.4
2023-05-25,13.8
2023-05-26,13.2
2023-05-27,13.1
2023-05-28,13.4
2023-05-29,13.6
2023-05-30,13.5
2023-05-31,13.6
2023-06-01,13.7
2023-06-02,13.8
2023-06-03,13.8
2023-06-04,14.5
2023-06-05,14.2
2023-06-06,14.1
2023-06-07,14
2023-06-08,14.2
2023-06-09,14.3
2023-06-10,14.9
2023-06-11,14.4
2023-06-12,14.7
2023-06-13,15
2023-06-14,14.6
2023-06-15,15.3
2023-06-16,14.8
2023-06-17,15.5
2023-06-18,15.1
2023-06-19,15.1
2023-06-20,15.4
2023-06-21,15.4
2023-06-22,15.5
2023-06-23,15.6
2023-06-24,16
2023-06-25,15.9
2023-06-26,16
2023-06-27,16
2023-06-28,16.2
2023-06-29,16
2023-06-30,16.6
2023-07-01,17.3
2023-07-02,17.7
2023-07-03,18
2023-07-04,18.1
2023-07-05,18.2
2023-07-06,18.1
2023-07-07,18.3
2023-07-08,18.8
2023-07-09,18.7
2023-07-10,19.2
2023-07-11,19
2023-07-12,19.1
2023-07-13,18.8
2023-07-14,18.8
2023-07-15,19.3
2023-07-16,19.4
2023-07-17,19.5
2023-07-18,19.8
2023-07-19,19.8
2023-07-20,19.7
2023-07-21,19.7
2023-07-22,19.7
2023-07-23,19.6
2023-07-24,19.1
2023-07-25,19.6
2023-07-26,19.6
2023-07-27,19.6
2023-07-28,20.5
2023-07-29,20.4
2023-07-30,19.8
2023-07-31,19.9
2023-08-01,19.9
2023-08-02,19.6
2023-08-03,19.4
2023-08-04,19.5
2023-08-05,19.7
2023-08-06,19.8
2023-08-07,19.7
2023-08-08,19.8