Date,Inflow (cfs)
2019-08-09,162.4
2019-08-10,103.2
2019-08-11,74.3
2019-08-12,61.9
2019-08-13,56.5
2019-08-14,53.5
2019-08-15,49.8
2019-08-16,53.2
2019-08-17,51.7
2019-08-18,56.6
2019-08-19,66.4
2019-08-20,50.3
2019-08-21,63.7
2019-08-22,68.2
2019-08-23,53.4
2019-08-24,45.9
2019-08-25,41.6
2019-08-26,39
2019-08-27,36.8
2019-08-28,36.2
2019-08-29,37
2019-08-30,34
2019-08-31,32.3
2019-09-01,30.9
2019-09-02,40.1
2019-09-03,47.8
2019-09-04,37.3
2019-09-05,33.4
2019-09-06,30.9
2019-09-07,29.9
2019-09-08,28.3
2019-09-09,27.2
2019-09-10,27.1
2019-09-11,27.2
2019-09-12,45
2019-09-13,40.1
2019-09-14,37.1
2019-09-15,52.1
2019-09-16,39
2019-09-17,33.7
2019-09-18,30.2
2019-09-19,28
2019-09-20,27.1
2019-09-21,26.1
2019-09-22,25.5
2019-09-23,25.7
2019-09-24,25.4
2019-09-25,24.8
2019-09-26,27.2
2019-09-27,35.4
2019-09-28,29.9
2019-09-29,27.7
2019-09-30,26
2019-10-01,27.2
2019-10-02,28
2019-10-03,31.4
2019-10-04,45.6
2019-10-05,35.7
2019-10-06,30.8
2019-10-07,36.7
2019-10-08,73.3
2019-10-09,48.1
2019-10-10,38.2
2019-10-11,33.6
2019-10-12,31.4
2019-10-13,30.5
2019-10-14,29.1
2019-10-15,27.8
2019-10-16,84.2
2019-10-17,728.6
2019-10-18,233.6
2019-10-19,150.2
2019-10-20,115.6
2019-10-21,99.3
2019-10-22,85.4
2019-10-23,153.2
2019-10-24,120.5
2019-10-25,95.8
2019-10-26,83.8
2019-10-27,263
2019-10-28,290.8
2019-10-29,185.6
2019-10-30,156.2
2019-10-31,306.3
2019-11-01,1887.3
2019-11-02,717.8
2019-11-03,403.8
2019-11-04,300.1
2019-11-05,246
2019-11-06,210.4
2019-11-07,207.3
2019-11-08,242.9
2019-11-09,188.7
2019-11-10,170.2
2019-11-11,159.3
2019-11-12,151.6
2019-11-13,135.2
2019-11-14,122.5
2019-11-15,117.3
2019-11-16,112.6
2019-11-17,104.7
2019-11-18,105.5
2019-11-19,295.5
2019-11-20,221.2
2019-11-21,174.8
2019-11-22,160.9
2019-11-23,152.4
2019-11-24,595.6
2019-11-25,553.8
2019-11-26,346.5
2019-11-27,273.8
2019-11-28,275.4
2019-11-29,227.4
2019-11-30,201.1
2019-12-01,181
2019-12-02,199.6
2019-12-03,196.5
2019-12-04,181
2019-12-05,173.3
2019-12-06,162.4
2019-12-07,152.5
2019-12-08,159.3
2019-12-09,164
2019-12-10,591
2019-12-11,580.1
2019-12-12,365.1
2019-12-13,283.1
2019-12-14,756.5
2019-12-15,846.2
2019-12-16,478
2019-12-17,385.2
2019-12-18,329.5
2019-12-19,264.5
2019-12-20,232.1
2019-12-21,210.4
2019-12-22,193.4
2019-12-23,191.8
2019-12-24,190.3
2019-12-25,176.4
2019-12-26,160.9
2019-12-27,167.1
2019-12-28,194.9
2019-12-29,193.4
2019-12-30,530.6
2019-12-31,485.8
2020-01-01,386.8
2020-01-02,298.6
2020-01-03,267.6
2020-01-04,389.8
2020-01-05,385.2
2020-01-06,300.1
2020-01-07,255.3
2020-01-08,230.5
2020-01-09,218.1
2020-01-10,191.8
2020-01-11,207.3
2020-01-12,380.6
2020-01-13,307.9
2020-01-14,244.4
2020-01-15,222.8
2020-01-16,222.8
2020-01-17,201.1
2020-01-18,194.9
2020-01-19,198
2020-01-20,170.2
2020-01-21,187.2
2020-01-22,177.9
2020-01-23,167.1
2020-01-24,151.6
2020-01-25,252.2
2020-01-26,533.7
2020-01-27,349.6
2020-01-28,286.2
2020-01-29,236.7
2020-01-30,215
2020-01-31,184.1
2020-02-01,174.8
2020-02-02,171.7
2020-02-03,176.4
2020-02-04,187.2
2020-02-05,202.7
2020-02-06,208.8
2020-02-07,564.7
2020-02-08,448.6
2020-02-09,314
2020-02-10,297
2020-02-11,326.4
2020-02-12,337.2
2020-02-13,504.3
2020-02-14,451.7
2020-02-15,324.9
2020-02-16,275.4
2020-02-17,247.5
2020-02-18,235.1
2020-02-19,263
2020-02-20,207.3
2020-02-21,174.8
2020-02-22,154.7
2020-02-23,162.4
2020-02-24,170.2
2020-02-25,191.8
2020-02-26,224.3
2020-02-27,688.4
2020-02-28,410
2020-02-29,290.8
2020-03-01,244.4
2020-03-02,222.8
2020-03-03,249.1
2020-03-04,375.9
2020-03-05,300.1
2020-03-06,252.2
2020-03-07,225.9
2020-03-08,199.6
2020-03-09,190.3
2020-03-10,190.3
2020-03-11,202.7
2020-03-12,182.5
2020-03-13,317.1
2020-03-14,276.9
2020-03-15,218.1
2020-03-16,188.7
2020-03-17,184.1
2020-03-18,177.9
2020-03-19,422.3
2020-03-20,439.3
2020-03-21,414.6
2020-03-22,306.3
2020-03-23,280
2020-03-24,380.6
2020-03-25,399.1
2020-03-26,349.6
2020-03-27,362
2020-03-28,348.1
2020-03-29,552.3
2020-03-30,536.8
2020-03-31,578.6
2020-04-01,430.1
2020-04-02,351.2
2020-04-03,301.7
2020-04-04,270.7
2020-04-05,242.9
2020-04-06,218.1
2020-04-07,198
2020-04-08,204.2
2020-04-09,280
2020-04-10,343.4
2020-04-11,272.3
2020-04-12,246
2020-04-13,841.6
2020-04-14,962.2
2020-04-15,512.1
2020-04-16,394.5
2020-04-17,335.7
2020-04-18,375.9
2020-04-19,388.3
2020-04-20,352.7
2020-04-21,309.4
2020-04-22,281.6
2020-04-23,246
2020-04-24,259.9
2020-04-25,255.3
2020-04-26,334.2
2020-04-27,560
2020-04-28,354.3
2020-04-29,293.9
2020-04-30,309.4
2020-05-01,1779.1
2020-05-02,1106.1
2020-05-03,649.7
2020-05-04,464.1
2020-05-05,379
2020-05-06,326.4
2020-05-07,295.5
2020-05-08,281.6
2020-05-09,315.6
2020-05-10,259.9
2020-05-11,247.5
2020-05-12,258.3
2020-05-13,216.6
2020-05-14,198
2020-05-15,204.2
2020-05-16,219.7
2020-05-17,188.7
2020-05-18,174.8
2020-05-19,160.9
2020-05-20,145.9
2020-05-21,136.6
2020-05-22,130.9
2020-05-23,145.7
2020-05-24,140.3
2020-05-25,121.6
2020-05-26,112.5
2020-05-27,105.8
2020-05-28,99.9
2020-05-29,108.6
2020-05-30,136.1
2020-05-31,101.6
2020-06-01,84.9
2020-06-02,80.6
2020-06-03,98.4
2020-06-04,145.1
2020-06-05,101.3
2020-06-06,89.7
2020-06-07,75.6
2020-06-08,66.4
2020-06-09,54.3
2020-06-10,50.7
2020-06-11,730.2
2020-06-12,273.8
2020-06-13,164
2020-06-14,114.8
2020-06-15,93
2020-06-16,81.5
2020-06-17,72.9
2020-06-18,67.4
2020-06-19,64.4
2020-06-20,59.6
2020-06-21,55.1
2020-06-22,52.9
2020-06-23,51.5
2020-06-24,58.3
2020-06-25,50.1
2020-06-26,46.6
2020-06-27,70.7
2020-06-28,84.6
2020-06-29,69.2
2020-06-30,67.1
2020-07-01,69.8
2020-07-02,52
2020-07-03,46.3
2020-07-04,56.8
2020-07-05,45.9
2020-07-06,67.8
2020-07-07,85.2
2020-07-08,141.4
2020-07-09,134.6
2020-07-10,236.7
2020-07-11,649.7
2020-07-12,289.3
2020-07-13,184.1
2020-07-14,132.6
2020-07-15,103.3
2020-07-16,88
2020-07-17,82.6
2020-07-18,76.3
2020-07-19,68.4
2020-07-20,107.8
2020-07-21,82.1
2020-07-22,70.4
2020-07-23,61.1
2020-07-24,58.8
2020-07-25,55.8
2020-07-26,52
2020-07-27,44.9
2020-07-28,42.4
2020-07-29,39.6
2020-07-30,39.3
2020-07-31,38.4
2020-08-01,34.2
2020-08-02,37.4
2020-08-03,38.2
2020-08-04,1414
2020-08-05,1180.4
2020-08-06,414.6
2020-08-07,272.3
2020-08-08,211.9
2020-08-09,168.6
2020-08-10,142.6
2020-08-11,126.2
2020-08-12,167.1
2020-08-13,128.6
2020-08-14,104
2020-08-15,89.9
2020-08-16,80.4
2020-08-17,78.4
2020-08-18,85.4
2020-08-19,70.7
2020-08-20,64.7
2020-08-21,60
2020-08-22,56.3
2020-08-23,53.1
2020-08-24,50.3
2020-08-25,50
2020-08-26,50.1
2020-08-27,95.4
2020-08-28,185.6
2020-08-29,113.7
2020-08-30,101
2020-08-31,73
2020-09-01,67.1
2020-09-02,242.9
2020-09-03,315.6
2020-09-04,185.6
2020-09-05,137.5
2020-09-06,106.1
2020-09-07,88.8
2020-09-08,80.3
2020-09-09,72.7
2020-09-10,79.4
2020-09-11,86.9
2020-09-12,64
2020-09-13,59.9
2020-09-14,58.8
2020-09-15,53.2
2020-09-16,50.7
2020-09-17,52.6
2020-09-18,49.8
2020-09-19,46.3
2020-09-20,43.2
2020-09-21,41.9
2020-09-22,41
2020-09-23,42.5
2020-09-24,39.4
2020-09-25,39
2020-09-26,38.5
2020-09-27,38.5
2020-09-28,43.3
2020-09-29,45.9
2020-09-30,450.2
2020-10-01,182.5
2020-10-02,131.2
2020-10-03,96.8
2020-10-04,77
2020-10-05,69.9
2020-10-06,64
2020-10-07,61
2020-10-08,63.1
2020-10-09,54.8
2020-10-10,52.1
2020-10-11,50.3
2020-10-12,52.9
2020-10-13,57.5
2020-10-14,60
2020-10-15,50.4
2020-10-16,50.4
2020-10-17,57.9
2020-10-18,51.2
2020-10-19,49.7
2020-10-20,49.8
2020-10-21,50.1
2020-10-22,52.3
2020-10-23,53.1
2020-10-24,46.6
2020-10-25,44.6
2020-10-26,51.4
2020-10-27,60.2
2020-10-28,76.3
2020-10-29,194.9
2020-10-30,439.3
2020-10-31,278.5
2020-11-01,205.8
2020-11-02,215
2020-11-03,168.6
2020-11-04,146.2
2020-11-05,132.9
2020-11-06,121.6
2020-11-07,112
2020-11-08,105.4
2020-11-09,101.8
2020-11-10,99.2
2020-11-11,106.9
2020-11-12,219.7
2020-11-13,162.4
2020-11-14,141.2
2020-11-15,131.3
2020-11-16,238.2
2020-11-17,176.4
2020-11-18,154.7
2020-11-19,138.8
2020-11-20,136.3
2020-11-21,132.1
2020-11-22,123
2020-11-23,201.1
2020-11-24,182.5
2020-11-25,154.7
2020-11-26,317.1
2020-11-27,273.8
2020-11-28,224.3
2020-11-29,198
2020-11-30,875.6
2020-12-01,1457.3
2020-12-02,617.3
2020-12-03,411.5
2020-12-04,337.2
2020-12-05,298.6
2020-12-06,261.4
2020-12-07,232.1
2020-12-08,216.6
2020-12-09,196.5
2020-12-10,193.4
2020-12-11,185.6
2020-12-12,176.4
2020-12-13,171.7
2020-12-14,165.5
2020-12-15,165.5
2020-12-16,170.2
2020-12-17,173.3
2020-12-18,176.4
2020-12-19,177.9
2020-12-20,176.4
2020-12-21,165.5
2020-12-22,156.2
2020-12-23,146
2020-12-24,194.9
2020-12-25,3620
2020-12-26,1451.1
2020-12-27,612.6
2020-12-28,437.8
2020-12-29,368.2
2020-12-30,310.9
2020-12-31,321.8
2021-01-01,287.7
2021-01-02,366.6
2021-01-03,352.7
2021-01-04,309.4
2021-01-05,283.1
2021-01-06,259.9
2021-01-07,236.7
2021-01-08,218.1
2021-01-09,204.2
2021-01-10,191.8
2021-01-11,177.9
2021-01-12,171.7
2021-01-13,164
2021-01-14,160.9
2021-01-15,157.8
2021-01-16,188.7
2021-01-17,198
2021-01-18,173.3
2021-01-19,162.4
2021-01-20,151.9
2021-01-21,131.2
2021-01-22,125.3
2021-01-23,121.4
2021-01-24,119
2021-01-25,117.1
2021-01-26,115.3
2021-01-27,113.5
2021-01-28,111.7
2021-01-29,109.8
2021-01-30,108.4
2021-01-31,106.9
2021-02-01,105.4
2021-02-02,103.3
2021-02-03,101.8
2021-02-04,100.6
2021-02-05,99.3
2021-02-06,98.2
2021-02-07,96.7
2021-02-08,95.1
2021-02-09,93.7
2021-02-10,92.2
2021-02-11,91.4
2021-02-12,90.5
2021-02-13,89.6
2021-02-14,90.3
2021-02-15,89.1
2021-02-16,145.3
2021-02-17,208.8
2021-02-18,164
2021-02-19,150.2
2021-02-20,140.3
2021-02-21,136.1
2021-02-22,120.5
2021-02-23,132.3
2021-02-24,134
2021-02-25,165.5
2021-02-26,165.5
2021-02-27,162.4
2021-02-28,182.5
2021-03-01,255.3
2021-03-02,266.1
2021-03-03,264.5
2021-03-04,210.4
2021-03-05,198
2021-03-06,185.6
2021-03-07,167.1
2021-03-08,160.9
2021-03-09,167.1
2021-03-10,225.9
2021-03-11,362
2021-03-12,909.6
2021-03-13,767.3
2021-03-14,512.1
2021-03-15,386.8
2021-03-16,324.9
2021-03-17,290.8
2021-03-18,611.1
2021-03-19,815.3
2021-03-20,479.6
2021-03-21,428.5
2021-03-22,422.3
2021-03-23,416.1
2021-03-24,631.2
2021-03-25,1055.1
2021-03-26,714.7
2021-03-27,481.1
2021-03-28,728.6
2021-03-29,792.1
2021-03-30,453.3
2021-03-31,377.5
2021-04-01,474.9
2021-04-02,365.1
2021-04-03,309.4
2021-04-04,280
2021-04-05,252.2
2021-04-06,227.4
2021-04-07,216.6
2021-04-08,201.1
2021-04-09,188.7
2021-04-10,179.5
2021-04-11,179.5
2021-04-12,309.4
2021-04-13,420.8
2021-04-14,298.6
2021-04-15,283.1
2021-04-16,309.4
2021-04-17,269.2
2021-04-18,241.3
2021-04-19,224.3
2021-04-20,210.4
2021-04-21,198
2021-04-22,187.2
2021-04-23,171.7
2021-04-24,160.9
2021-04-25,159.3
2021-04-26,153.3
2021-04-27,140.8
2021-04-28,134
2021-04-29,142.2
2021-04-30,204.2
2021-05-01,149.6
2021-05-02,125.8
2021-05-03,118.3
2021-05-04,170.2
2021-05-05,1748.1
2021-05-06,756.5
2021-05-07,431.6
2021-05-08,369.7
2021-05-09,357.4
2021-05-10,690
2021-05-11,436.3
2021-05-12,354.3
2021-05-13,300.1
2021-05-14,267.6
2021-05-15,244.4
2021-05-16,224.3
2021-05-17,208.8
2021-05-18,194.9
2021-05-19,177.9
2021-05-20,160.9
2021-05-21,147
2021-05-22,141.1
2021-05-23,134.3
2021-05-24,122.2
2021-05-25,113.7
2021-05-26,109.8
2021-05-27,136.6
2021-05-28,127.5
2021-05-29,358.9
2021-05-30,304.8
2021-05-31,386.8
2021-06-01,263
2021-06-02,210.4
2021-06-03,185.6
2021-06-04,176.4
2021-06-05,167.1
2021-06-06,143.7
2021-06-07,129
2021-06-08,125.2
2021-06-09,134.3
2021-06-10,112.6
2021-06-11,98.2
2021-06-12,91.9
2021-06-13,97.2
2021-06-14,99.8
2021-06-15,98.9
2021-06-16,83.1
2021-06-17,71.8
2021-06-18,67.9
2021-06-19,64.5
2021-06-20,64.5
2021-06-21,63.3
2021-06-22,111.7
2021-06-23,91.4
2021-06-24,68.7
2021-06-25,62.7
2021-06-26,59.7
2021-06-27,58.5
2021-06-28,57.5
2021-06-29,54
2021-06-30,59.3
2021-07-01,71.8
2021-07-02,106.4
2021-07-03,188.7
2021-07-04,125.8
2021-07-05,89.9
2021-07-06,75
2021-07-07,76.9
2021-07-08,386.8
2021-07-09,1748.1
2021-07-10,597.1
2021-07-11,354.3
2021-07-12,1073.6
2021-07-13,691.5
2021-07-14,736.4
2021-07-15,457.9
2021-07-16,352.7
2021-07-17,479.6
2021-07-18,1686.2
2021-07-19,734.8
2021-07-20,439.3
2021-07-21,363.5
2021-07-22,290.8
2021-07-23,241.3
2021-07-24,211.9
2021-07-25,196.5
2021-07-26,181
2021-07-27,160.9
2021-07-28,162.4
2021-07-29,149.1
2021-07-30,156.2
2021-07-31,127.8
2021-08-01,112.5
2021-08-02,105.2
2021-08-03,93.6
2021-08-04,87.1
2021-08-05,82.3
2021-08-06,78
2021-08-07,73.2
2021-08-08,70.1
2021-08-09,66.2
2021-08-10,67.9
2021-08-11,67
2021-08-12,61.4
2021-08-13,86.5
2021-08-14,66.7
2021-08-15,54.9
2021-08-16,51.2
2021-08-17,65.4
2021-08-18,72.9
2021-08-19,375.9
2021-08-20,211.9
2021-08-21,213.5
2021-08-22,202.7
2021-08-23,688.4
2021-08-24,348.1
2021-08-25,239.8
2021-08-26,182.5
2021-08-27,205.8
2021-08-28,425.4
2021-08-29,216.6
2021-08-30,287.7
2021-08-31,403.8
2021-09-01,1530
2021-09-02,3403.4
2021-09-03,1152.5
2021-09-04,628.1
2021-09-05,459.5
2021-09-06,386.8
2021-09-07,312.5
2021-09-08,324.9
2021-09-09,1316.5
2021-09-10,604.9
2021-09-11,397.6
2021-09-12,307.9
2021-09-13,258.3
2021-09-14,230.5
2021-09-15,229
2021-09-16,623.4
2021-09-17,386.8
